DATE|TICKER|RM|R
1992-02-10|IBM|0.006519|0.005602
1992-02-11|IBM|-2.4E-5|0.005571
1992-02-12|IBM|0.008145|0.020776
1992-02-13|IBM|-0.008247|-0.014925
1992-02-14|IBM|-0.002925|-0.011019
1992-02-18|IBM|-0.012364|-0.001393
1992-02-19|IBM|0.00216|0.0
1992-02-20|IBM|0.013815|0.001395
1992-02-21|IBM|-0.005895|0.001393
1992-02-24|IBM|0.001969|-0.005563
1992-02-25|IBM|-0.004415|-0.012587
1992-02-26|IBM|0.011938|0.0
1992-02-27|IBM|-0.003587|-0.005666
1992-02-28|IBM|-0.002803|-0.009972
1992-03-02|IBM|-6.06E-4|0.007194
1992-03-03|IBM|9.7E-4|0.008571
1992-03-04|IBM|-0.008526|-0.009915
1992-03-05|IBM|-0.006889|-0.008584
1992-03-06|IBM|-0.005092|-0.002886
1992-03-09|IBM|0.001904|0.011577
1992-03-10|IBM|0.004146|0.005722
1992-03-11|IBM|-0.007029|-0.001422
1992-03-12|IBM|-3.47E-4|0.01567
1992-03-13|IBM|0.004828|0.00561
1992-03-16|IBM|0.001355|-0.009763
1992-03-17|IBM|0.00785|-0.012676
1992-03-18|IBM|-0.00105|-0.001427
1992-03-19|IBM|0.001589|-0.018571
1992-03-20|IBM|0.00366|0.002911
1992-03-23|IBM|-0.00338|-0.005806
1992-03-24|IBM|-0.002513|-0.00438
1992-03-25|IBM|-0.003326|-0.001466
1992-03-26|IBM|8.34E-4|-0.011747
1992-03-27|IBM|-0.01069|-0.010401
1992-03-30|IBM|-0.001239|0.001502
1992-03-31|IBM|0.001712|0.001499
1992-04-01|IBM|0.001338|-0.007485
1992-04-02|IBM|-0.009227|-0.007541
1992-04-03|IBM|0.002622|-0.006079
1992-04-06|IBM|0.010061|0.01682
1992-04-07|IBM|-0.018566|-0.009023
1992-04-08|IBM|-0.008943|0.030349
1992-04-09|IBM|0.015564|0.002946
1992-04-10|IBM|0.00911|0.010279
1992-04-13|IBM|0.004428|0.017442
1992-04-14|IBM|0.015539|0.008571
1992-04-15|IBM|0.009433|0.002833
1992-04-16|IBM|-5.53E-4|0.001412
1992-04-20|IBM|-0.014157|0.009873
1992-04-21|IBM|2.44E-4|0.005587
1992-04-22|IBM|-0.001097|0.001389
1992-04-23|IBM|0.004368|-0.009709
1992-04-24|IBM|-0.006268|-0.012605
1992-04-27|IBM|-0.001394|0.0
1992-04-28|IBM|0.001616|0.004255
1992-04-29|IBM|0.007113|-0.004237
1992-04-30|IBM|0.007111|0.029787
1992-05-01|IBM|-0.005832|-0.001377
1992-05-04|IBM|0.010617|0.02069
1992-05-05|IBM|-1.68E-4|0.014865
1992-05-06|IBM|-1.2E-4|-0.005326
1992-05-07|IBM|-0.002255|0.016975
1992-05-08|IBM|4.81E-4|-0.006667
1992-05-11|IBM|0.005865|0.008054
1992-05-12|IBM|-0.005257|-0.003995
1992-05-13|IBM|3.84E-4|-0.012032
1992-05-14|IBM|-0.007948|-0.006766
1992-05-15|IBM|-0.007382|-0.001362
1992-05-18|IBM|0.006633|-0.00955
1992-05-19|IBM|0.008624|0.019284
1992-05-20|IBM|-0.002354|-0.009459
1992-05-21|IBM|-0.006717|-0.001364
1992-05-22|IBM|0.003442|0.002732
1992-05-26|IBM|-0.006304|-0.013624
1992-05-27|IBM|0.001847|0.004144
1992-05-28|IBM|0.011088|0.002751
1992-05-29|IBM|-0.003335|-0.004115
1992-06-01|IBM|0.004695|-0.001377
1992-06-02|IBM|-0.009106|0.0
1992-06-03|IBM|0.002636|-0.009655
1992-06-04|IBM|-0.003208|-0.008357
1992-06-05|IBM|5.32E-4|0.015449
1992-06-08|IBM|-2.9E-4|0.006916
1992-06-09|IBM|-0.007983|-0.004121
1992-06-10|IBM|-0.006853|-0.005517
1992-06-11|IBM|0.00442|0.020804
1992-06-12|IBM|0.001736|0.01087
1992-06-15|IBM|0.001293|0.012097
1992-06-16|IBM|-0.004801|-0.010624
1992-06-17|IBM|-0.014841|-0.005369
1992-06-18|IBM|-0.003232|0.020243
1992-06-19|IBM|0.006759|0.005291
1992-06-22|IBM|-6.69E-4|0.002632
1992-06-23|IBM|0.001587|0.006562
1992-06-24|IBM|-5.2E-4|0.018253
1992-06-25|IBM|-0.001758|-0.005122
1992-06-26|IBM|8.19E-4|0.001287
1992-06-29|IBM|0.013608|0.014139
1992-06-30|IBM|-0.001956|-0.007605
1992-07-01|IBM|0.011614|0.003831
1992-07-02|IBM|-0.002688|-0.013995
1992-07-06|IBM|0.005027|0.012903
1992-07-07|IBM|-0.011309|-0.014013
1992-07-08|IBM|0.002737|0.011628
1992-07-09|IBM|0.009603|-0.003831
1992-07-10|IBM|9.66E-4|0.001282
1992-07-13|IBM|6.03E-4|0.002561
1992-07-14|IBM|0.006773|0.0
1992-07-15|IBM|-0.001389|0.014049
1992-07-16|IBM|0.001055|0.010076
1992-07-17|IBM|-0.004598|-0.052369
1992-07-20|IBM|-0.004499|-0.022368
1992-07-21|IBM|2.4E-5|0.009421
1992-07-22|IBM|-0.00684|-0.013333
1992-07-23|IBM|0.002799|0.002703
1992-07-24|IBM|-0.001165|0.0
1992-07-27|IBM|-1.46E-4|-0.004043
1992-07-28|IBM|0.014531|0.014885
1992-07-29|IBM|0.011281|0.006667
1992-07-30|IBM|0.004003|0.010596
1992-07-31|IBM|6.84E-4|-0.006553
1992-08-03|IBM|0.002074|0.001319
1992-08-04|IBM|-0.001717|-0.006588
1992-08-05|IBM|-0.005114|-0.027851
1992-08-06|IBM|-0.00379|-0.023629
1992-08-07|IBM|-0.004066|-0.012748
1992-08-10|IBM|0.001289|0.015782
1992-08-11|IBM|-0.00124|-0.00565
1992-08-12|IBM|-0.002674|0.004261
1992-08-13|IBM|-1.2E-4|-0.002829
1992-08-14|IBM|0.005219|0.002837
1992-08-17|IBM|0.001977|0.002829
1992-08-18|IBM|0.001426|-0.007052
1992-08-19|IBM|-0.0075|-0.015625
1992-08-20|IBM|1.91E-4|-0.008658
1992-08-21|IBM|-0.008153|0.001456
1992-08-24|IBM|-0.009955|-0.010174
1992-08-25|IBM|0.002167|0.023495
1992-08-26|IBM|0.004616|-0.008608
1992-08-27|IBM|4.8E-5|0.011577
1992-08-28|IBM|0.003168|-0.001431
1992-08-31|IBM|-0.001953|-0.007163
1992-09-01|IBM|0.004927|0.011544
1992-09-02|IBM|0.004591|-0.001427
1992-09-03|IBM|0.0|-0.01
1992-09-04|IBM|-0.002153|-0.007215
1992-09-08|IBM|-0.00633|0.001453
1992-09-09|IBM|0.004633|0.008708
1992-09-10|IBM|0.008622|0.007194
1992-09-11|IBM|-8.81E-4|0.005714
1992-09-14|IBM|0.013561|0.004261
1992-09-15|IBM|-0.012933|-0.032532
1992-09-16|IBM|3.57E-4|-0.027778
1992-09-17|IBM|2.4E-5|0.007519
1992-09-18|IBM|0.007144|-0.002985
1992-09-21|IBM|-0.001868|0.010479
1992-09-22|IBM|-0.011844|-0.013333
1992-09-23|IBM|7.19E-4|0.004505
1992-09-24|IBM|0.002467|-0.013453
1992-09-25|IBM|-0.009845|-0.00303
1992-09-28|IBM|0.005478|0.006079
1992-09-29|IBM|4.32E-4|-0.021148
1992-09-30|IBM|0.002399|-0.003086
1992-10-01|IBM|-0.003614|-0.00774
1992-10-02|IBM|-0.013981|-0.020281
1992-10-05|IBM|-0.007065|0.004777
1992-10-06|IBM|-9.57E-4|0.011094
1992-10-07|IBM|-0.007196|-0.017241
1992-10-08|IBM|0.008658|0.012759
1992-10-09|IBM|-0.012483|-0.011024
1992-10-12|IBM|0.011871|0.0
1992-10-13|IBM|0.004565|0.003185
1992-10-14|IBM|1.71E-4|-0.009524
1992-10-15|IBM|5.62E-4|-0.065705
1992-10-16|IBM|0.0052|-0.02916
1992-10-19|IBM|0.007894|-0.031802
1992-10-20|IBM|0.001205|-0.001825
1992-10-21|IBM|4.57E-4|0.001828
1992-10-22|IBM|-0.001852|0.0
1992-10-23|IBM|-0.001928|0.009124
1992-10-26|IBM|0.009804|-0.023508
1992-10-27|IBM|7.89E-4|-0.025926
1992-10-28|IBM|0.003919|0.020913
1992-10-29|IBM|0.001738|-0.01676
1992-10-30|IBM|-0.00518|0.013258
1992-11-02|IBM|0.009721|0.029907
1992-11-03|IBM|-0.006694|0.00363
1992-11-04|IBM|-0.006692|-0.012658
1992-11-05|IBM|0.002949|-0.01707
1992-11-06|IBM|-0.001817|0.005693
1992-11-09|IBM|0.002419|0.018868
1992-11-10|IBM|7.2E-5|-0.024074
1992-11-11|IBM|0.008552|-0.013283
1992-11-12|IBM|0.001587|-0.013462
1992-11-13|IBM|-0.001041|0.011696
1992-11-16|IBM|-0.004143|0.0
1992-11-17|IBM|-0.003352|-0.009634
1992-11-18|IBM|0.008539|-0.01751
1992-11-19|IBM|0.001797|-0.029703
1992-11-20|IBM|0.007176|0.016327
1992-11-23|IBM|-0.003586|0.016064
1992-11-24|IBM|0.00581|0.025692
1992-11-25|IBM|0.003742|0.007707
1992-11-27|IBM|0.00226|0.00956
1992-11-30|IBM|0.002766|0.034091
1992-12-01|IBM|-0.001321|-0.007326
1992-12-02|IBM|-0.002066|0.001845
1992-12-03|IBM|4.7E-5|-0.009208
1992-12-04|IBM|0.005001|-0.003717
1992-12-07|IBM|0.007522|-0.016791
1992-12-08|IBM|0.003859|-0.00759
1992-12-09|IBM|-0.003066|-0.042065
1992-12-10|IBM|-0.002318|-0.013972
1992-12-11|IBM|-0.002094|0.010121
1992-12-14|IBM|-0.002052|0.008016
1992-12-15|IBM|-6.24E-4|-0.107356
1992-12-16|IBM|-0.002427|-0.075724
1992-12-17|IBM|0.009061|0.021687
1992-12-18|IBM|0.013435|-0.03066
1992-12-21|IBM|-0.001314|-0.048662
1992-12-22|IBM|-8.85E-4|0.058824
1992-12-23|IBM|-0.002907|-0.009662
1992-12-24|IBM|0.001686|0.029268
1992-12-28|IBM|-0.00141|-0.018957
1992-12-29|IBM|-0.002664|-0.038647
1992-12-30|IBM|0.001918|0.007538
1992-12-31|IBM|-0.007087|0.004988
1993-01-04|IBM|-7.57E-4|-0.004963
1993-01-05|IBM|-0.002389|-0.024938
1993-01-06|IBM|4.14E-4|-0.017903
1993-01-07|IBM|-0.008722|-0.020833
1993-01-08|IBM|-0.0039|-0.010638
1993-01-11|IBM|0.004428|0.026882
1993-01-12|IBM|2.09E-4|0.020942
1993-01-13|IBM|0.004617|-0.020513
1993-01-14|IBM|0.00672|0.020942
1993-01-15|IBM|0.002776|-0.010256
1993-01-18|IBM|-7.09E-4|0.025907
1993-01-19|IBM|-0.003914|-0.022727
1993-01-20|IBM|-0.004045|-0.031008
1993-01-21|IBM|0.004892|-0.010667
1993-01-22|IBM|0.001424|0.048518
1993-01-25|IBM|0.008943|0.005141
1993-01-26|IBM|-1.36E-4|0.002558
1993-01-27|IBM|-0.004182|0.012755
1993-01-28|IBM|0.001255|0.012594
1993-01-29|IBM|2.74E-4|0.024876
1993-02-01|IBM|0.008524|0.021845
1993-02-02|IBM|9.0E-5|-0.009501
1993-02-03|IBM|0.010484|-0.019185
1993-02-04|IBM|0.005277|0.015452
1993-02-05|IBM|-0.001401|0.012165
1993-02-08|IBM|-0.002406|0.016827
1993-02-09|IBM|-0.005627|0.009456
1993-02-10|IBM|0.002021|-0.021077
1993-02-11|IBM|0.003205|-0.021531
1993-02-12|IBM|-0.00688|-0.007335
1993-02-16|IBM|-0.024|-0.014778
1993-02-17|IBM|-0.001406|0.01
1993-02-18|IBM|-0.003231|0.0
1993-02-19|IBM|0.005372|0.0
1993-02-22|IBM|0.002349|0.014851
1993-02-23|IBM|-0.001011|-0.002439
1993-02-24|IBM|0.01396|0.01467
1993-02-25|IBM|0.003334|0.036145
1993-02-26|IBM|0.002351|0.011628
1993-03-01|IBM|-0.00309|0.006897
1993-03-02|IBM|0.013325|-0.009132
1993-03-03|IBM|0.003036|0.018433
1993-03-04|IBM|-0.004274|-0.006787
1993-03-05|IBM|-0.00275|0.006834
1993-03-08|IBM|0.019278|0.015837
1993-03-09|IBM|-6.82E-4|0.008909
1993-03-10|IBM|0.004247|-0.013245
1993-03-11|IBM|-0.00572|-0.017897
1993-03-12|IBM|-0.008574|0.013667
1993-03-15|IBM|0.003557|-0.011236
1993-03-16|IBM|-1.33E-4|0.002273
1993-03-17|IBM|-0.006779|-0.011338
1993-03-18|IBM|0.007986|0.002294
1993-03-19|IBM|-0.003784|-0.016018
1993-03-22|IBM|-0.002888|-0.002326
1993-03-23|IBM|-2.67E-4|0.011655
1993-03-24|IBM|-0.001538|-0.057604
1993-03-25|IBM|0.006271|-0.012225
1993-03-26|IBM|-0.006875|0.017327
1993-03-29|IBM|0.006677|0.007299
1993-03-30|IBM|0.002662|-0.033816
1993-03-31|IBM|-6.64E-4|0.0175
1993-04-01|IBM|-0.003033|0.019656
1993-04-02|IBM|-0.019787|0.014458
1993-04-05|IBM|0.002039|0.0
1993-04-06|IBM|-0.002555|-0.011876
1993-04-07|IBM|0.003559|0.004808
1993-04-08|IBM|-0.00201|-0.038278
1993-04-12|IBM|0.014779|0.014925
1993-04-13|IBM|0.001896|-0.031863
1993-04-14|IBM|-0.001247|-0.007595
1993-04-15|IBM|-5.8E-4|-0.005102
1993-04-16|IBM|0.001204|0.005128
1993-04-19|IBM|-0.003297|0.005102
1993-04-20|IBM|-0.005274|0.027919
